user_id,topic,current_difficulty,accuracy_rate,streak,avg_time_per_question,questions_answered,next_difficulty
0,Biology,3,1.0,1,77.50392958674095,1,3
0,Biology,3,1.0,2,64.66176303308801,2,3
0,Algebra,3,0.0,0,71.06788493272094,3,2
0,English,2,0.25,1,49.83287494683555,4,1
0,Algebra,1,0.4,2,25.086463694343017,5,1
0,Algebra,1,0.5,3,58.51218489836397,6,1
0,Biology,1,0.5714285714285714,4,23.751908030878106,7,1
0,English,1,0.625,5,28.737457253666765,8,1
0,Biology,1,0.6666666666666666,6,33.294874527200946,9,1
0,English,1,0.7,7,54.6806807626394,10,1
0,English,1,0.7272727272727273,8,47.20481305999803,11,1
0,Computer Science,1,0.75,9,56.39282005632545,12,1
0,History,1,0.0,0,56.096467615801416,13,1
0,History,1,0.0,0,26.33865509816576,14,1
0,English,1,0.06666666666666667,1,52.464435800894414,15,1
0,English,1,0.0,0,30.976446161477334,16,1
0,History,1,0.058823529411764705,1,51.95233958228327,17,1
0,Algebra,1,0.0,0,53.901041461544324,18,1
0,History,1,0.0,0,22.38991129853668,19,1
0,Algebra,1,0.0,0,24.521043457959784,20,1
0,History,1,0.0,0,45.06523315524157,21,1
0,History,1,0.045454545454545456,1,32.499404384768056,22,1
0,History,1,0.08695652173913043,2,54.59812493797134,23,1
0,Algebra,1,0.0,0,40.050108697951295,24,1
0,Computer Science,1,0.04,1,51.64478457194949,25,1
0,English,1,0.07692307692307693,2,39.29795734003368,26,1
0,Computer Science,1,0.1111111111111111,3,35.10582459590823,27,1
0,Computer Science,1,0.14285714285714285,4,51.38507401037563,28,1
0,Algebra,1,0.1724137931034483,5,26.228931617111645,29,1
0,Computer Science,1,0.2,6,40.82301584116395,30,1
0,Algebra,1,0.0,0,42.71093417248433,31,1
0,English,1,0.03125,1,41.74518329581613,32,1
0,Algebra,1,0.06060606060606061,2,21.204200658485412,33,1
0,Computer Science,1,0.08823529411764706,3,41.04091667813161,34,1
0,Algebra,1,0.11428571428571428,4,57.446630904663785,35,1
0,English,1,0.0,0,50.47720419331212,36,1
0,English,1,0.0,0,26.48432268134919,37,1
0,History,1,0.02631578947368421,1,33.619851028065995,38,1
0,Algebra,1,0.05128205128205128,2,46.34558402316499,39,1
0,English,1,0.0,0,36.425565701135554,40,1
0,Biology,1,0.0,0,32.39226430263362,41,1
0,English,1,0.023809523809523808,1,52.82863146109243,42,1
0,Computer Science,1,0.046511627906976744,2,43.614154822701096,43,1
0,Biology,1,0.06818181818181818,3,28.106873062934575,44,1
0,Biology,1,0.08888888888888889,4,55.35854800977178,45,1
0,Algebra,1,0.10869565217391304,5,56.190633025346706,46,1
0,Biology,1,0.0,0,42.225792869704904,47,1
0,Algebra,1,0.0,0,27.079281485516397,48,1
0,Computer Science,1,0.02040816326530612,1,57.00262264112156,49,1
0,Biology,1,0.04,2,29.665891296953774,50,1
1,Algebra,1,1.0,1,53.98683693715284,1,1
1,Computer Science,1,1.0,2,41.956892792279675,2,2
1,Algebra,2,0.0,0,31.271472741489102,3,1
1,Computer Science,1,0.25,1,49.815185451448954,4,1
1,History,1,0.4,2,28.873171171967222,5,1
1,Computer Science,1,0.0,0,34.69802906717263,6,1
1,History,1,0.14285714285714285,1,48.80199498063206,7,1
1,History,1,0.25,2,40.694017396492775,8,1
1,Biology,1,0.3333333333333333,3,28.816296237820783,9,1
1,English,1,0.4,4,38.18492499283629,10,1
1,History,1,0.45454545454545453,5,39.60971002419949,11,1
1,Algebra,1,0.5,6,27.47359824138435,12,1
1,Algebra,1,0.0,0,24.474421143099214,13,1
1,Algebra,1,0.0,0,52.03389993279483,14,1
